date;word;language
7.Aug2020;Mama;neutral
24.Sep2020;agua;spanish
7.Oct2020;Abuela;spanish
31.Oct2020;luna;spanish
5.Nov2020;Banane;german
15.Nov2020;Pepe;neutral
18.Nov2020;Ball;german
22.Nov2020;más;spanish
23.Nov2020;no;spanish
24.Nov2020;Mami;neutral
1.Dec2020;luz;spanish
4.Dec2020;Auge;german
10.Dec2020;ups;neutral
13.Dec2020;lechita;spanish
15.Dec2020;heiß;german
15.Dec2020;este;spanish
17.Dec2020;hola;spanish
22.Dec2020;nein;german
29.Dec2020;Marta;neutral
5.Jan2021;Juljul;neutral
6.Jan2021;das;german
6.Jan2021;más;spanish
8.Jan2021;árbol;spanish
13.Jan2021;boca;spanish
14.Jan2021;kaputt;german
22.Jan2021;tschüss;german
25.Jan2021;wow;neutral
25.Jan2021;zu;german
26.Jan2021;Bob;neutral
27.Jan2021;leche;spanish
28.Jan2021;Bretzel;german
31.Jan2021;boobie;neutral
1.Feb2021;sol;spanish
2.Feb2021;zapato;spanish
3.Feb2021;Rieke;neutral
4.Feb2021;Aqui’sta;spanish
6.Feb2021;uva;spanish
8.Feb2021;azul;spanish
9.Feb2021;niña;spanish
14.Feb2021;Hüpf;german
14.Feb2021;Achtung;german
15.Feb2021;Bravo;neutral
15.Feb2021;Oma;german
17.Feb2021;Nase;german
20.Feb2021;Spieli;german
21.Feb2021;Licht;german
22.Feb2021;corazón;spanish
22.Feb2021;gracias;spanish
23.Feb2021;ja;german
23.Feb2021;otro;spanish
26.Feb2021;casa;spanish
8.Mar2021;papa;spanish
9.Mar2021;Leo;neutral
9.Mar2021;gut;german
10.Mar2021;Hallo;german
10.Mar2021;pompa;spanish
11.Mar2021;Mario;neutral
13.Mar2021;Sushi;neutral
13.Mar2021;nube;spanish
14.Mar2021;te;spanish
14.Mar2021;Moni;neutral
15.Mar2021;cielo;spanish
15.Mar2021;bubbles;neutral
16.Mar2021;tres;spanish
17.Mar2021;muchacho;spanish
18.Mar2021;calcetín;spanish
19.Mar2021;Apfel;german
19.Mar2021;pulpo;spanish
20.Mar2021;Jonas;neutral
22.Mar2021;asi;spanish
22.Mar2021;ok;neutral
22.Mar2021;chiquito;spanish
23.Mar2021;Noam;neutral
24.Mar2021;Nicola;neutral
26.Mar2021;ahjö;german
27.Mar2021;fuego;spanish
27.Mar2021;Lotte;neutral
30.Mar2021;queso;spanish
31.Mar2021;bici;spanish
31.Mar2021;Katrin;neutral
2.Apr2021;si;spanish
2.Apr2021;Blume;german
3.Apr2021;Pizza;german
4.Apr2021;Pasta;german
6.Apr2021;Markus;neutral
8.Apr2021;Schlüssel;german
10.Apr2021;Fritzi;neutral
11.Apr2021;Auerhahn;german
11.Apr2021;Chu;neutral
12.Apr2021;Popo;german
13.Apr2021;Abi;neutral
13.Apr2021;caca;neutral
15.Apr2021;Barbara;neutral
16.Apr2021;Schuh;german
17.Apr2021;Chrisi;neutral
17.Apr2021;naranja;spanish
17.Apr2021;Auto;german
19.Apr2021;Mühlabfur;german
21.Apr2021;rojo;spanish
21.Apr2021;essen;german
22.Apr2021;Wasser;german
22.Apr2021;Joghurt;spanish
22.Apr2021;runter;german
23.Apr2021;Abuelo;spanish
23.Apr2021;Cashew;german
24.Apr2021;Ohr;german
24.Apr2021;casco;spanish
24.Apr2021;Ana;neutral
24.Apr2021;Taylor;neutral
25.Apr2021;cariñito;spanish
25.Apr2021;da;german
26.Apr2021;Lina;neutral
26.Apr2021;pan;spanish
27.Apr2021;sopa;spanish
29.Apr2021;Sonja;neutral
29.Apr2021;anillo;spanish
