,word,word type (pos)
0,Mama,PROPN
1,agua,NOUN
2,luna,NOUN
3,Banane,NOUN
4,Pepe,PROPN
5,Ball,NOUN
6,más,ADJ/ADV
7,más,ADJ/ADV
8,no,INTJ
9,Mami,PROPN
10,luz,NOUN
11,Auge,NOUN
12,ups,INTJ
13,lechita,NOUN
14,este,DET
15,heiß,ADJ/ADV
16,hola,INTJ
17,nein,INTJ
18,Marta,PROPN
19,Juljul,PROPN
20,árbol,NOUN
21,boca,NOUN
22,kaputt,ADJ/ADV
23,tschüss,INTJ
24,wow,INTJ
25,zu,VERBPART
26,Bob,PROPN
27,leche,NOUN
28,Bretzel,NOUN
29,boobie,NOUN
30,sol,NOUN
31,zapato,NOUN
32,Rieke,NOUN
33,Aqui’sta,INTJ
34,uva,NOUN
35,azul,ADJ/ADV
36,niña,NOUN
37,Hüpf,INTJ
38,Achtung,NOUN
39,Bravo,INTJ
40,Oma,PROPN
41,Nase,NOUN
42,Spieli,NOUN
43,Licht,NOUN
44,gracias,NOUN
45,corazón,NOUN
46,ja,INTJ
47,otro,DET
48,casa,NOUN
49,papa,PROPN
50,Leo,PROPN
51,gut,ADJ/ADV
52,Hallo,INTJ
53,pompa,NOUN
54,Mario,PROPN
55,Sushi,PROPN
56,nube,NOUN
57,te,PRON
58,Moni,PROPN
59,bubbles,NOUN
60,cielo,NOUN
61,tres,NUM
62,muchacho,NOUN
63,calcetín,NOUN
64,Apfel,NOUN
65,pulpo,NOUN
66,Jonas,PROPN
67,asi,ADJ/ADV
68,ok,INTJ
69,chiquito,ADJ/ADV
70,Noam,PROPN
71,Nicola,PROPN
72,ahjö,NOUN
73,fuego,NOUN
74,Lotte,PROPN
75,queso,NOUN
76,bici,NOUN
77,Katrin,PROPN
78,si,INTJ
79,Blume,NOUN
80,Pizza,NOUN
81,Pasta,NOUN
82,Markus,PROPN
83,Schlüssel,NOUN
84,Fritzi,PROPN
85,Auerhahn,NOUN
86,Chu,PROPN
87,Popo,NOUN
88,Abi,PROPN
89,caca,NOUN
90,Barbara,PROPN
91,Schuh,NOUN
92,Chrisi,NOUN
93,naranja,NOUN
94,Auto,NOUN
95,Mühlabfur,NOUN
96,rojo,ADJ/ADV
97,essen,VERB
98,Wasser,NOUN
99,Joghurt,NOUN
100,runter,ADJ/ADV
101,Abuelo,PROPN
102,Cashew,NOUN
103,Ana,PROPN
104,Taylor,PROPN
105,Ohr,NOUN
106,casco,NOUN
107,cariñito,NOUN
108,da,ADJ/ADV
109,Lina,PROPN
110,pan,NOUN
111,sopa,NOUN
112,sopa,NOUN
113,anillo,NOUN
114,Sonja,NOUN
115,aguacate,NOUN
116,bye,INTJ
117,Tio,NOUN
118,listo,ADJ/ADV
119,pie,NOUN
120,lentes,NOUN
121,Fisch,NOUN
122,Fisch,NOUN
123,huevo,NOUN
124,sucio,ADJ/ADV
125,sucio,ADJ/ADV
126,nass,ADJ/ADV
127,silla,NOUN
128,limón,NOUN
129,Baum,NOUN
130,Kirsch,NOUN
131,adiós,INTJ
132,Handy,NOUN
133,Tipi,NOUN
134,blau,ADJ/ADV
135,blau,ADJ/ADV
136,kalt,ADJ/ADV
137,kalt,ADJ/ADV
138,mira,VERB
139,flamingo,NOUN
140,Marin,NOUN
141,lluvia,NOUN
142,Hand,NOUN
143,weich,ADJ/ADV
144,mesa,NOUN
145,auf,VERBPART
146,lecker,ADJ/ADV
147,Peter,PROPN
148,an,VERBPART
149,super,NOUN
150,Lisa,PROPN
151,mano,NOUN
152,crema,NOUN
153,ojo,NOUN
154,Mais,NOUN
155,verde,ADJ/ADV
156,verde,ADJ/ADV
157,piña,NOUN
158,pipí,NOUN
159,Dino,NOUN
160,ciao,NOUN
161,AyDios,INTJ
162,planta,NOUN
163,amarillo,ADJ/ADV
164,ropa,NOUN
165,Ananas,NOUN
166,penis,NOUN
167,Garage,NOUN
168,auch,ADJ/ADV
169,Tase,NOUN
170,aceite,NOUN
171,vamos,VERB
172,malen,VERB
173,mehr,ADJ/ADV
174,Uhr,NOUN
175,ven,VERB
176,ven,VERB
177,tapa,NOUN
178,máquina,NOUN
179,fuera,ADJ/ADV
180,fuera,ADJ/ADV
181,hormiga,NOUN
182,Milch,NOUN
183,bolsa,NOUN
184,bolsa,NOUN
185,rápido,ADJ/ADV
186,juntos,ADJ/ADV
187,fresa,NOUN
188,Trage,NOUN
189,Kaffee,NOUN
190,todos,PRON
191,todos,PRON
192,Fuß,NOUN
193,rico,ADJ/ADV
194,pelo,NOUN
195,viento,NOUN
196,hambre,NOUN
197,mio,PRON
198,abajo,ADJ/ADV
199,piso,NOUN
200,ich,PRON
201,rosa,ADJ/ADV
202,gis,NOUN
203,gis,NOUN
204,Ei,NOUN
205,Maus,NOUN
206,Stein,NOUN
207,Shampoo,NOUN
208,pingo,NOUN
209,cama,NOUN
210,Koala,NOUN
211,Pups,NOUN
212,Nuss,NOUN
213,libro,NOUN
214,yo,PRON
215,frío,NOUN
216,raus,ADJ/ADV
217,dos,NUM
218,pato,NOUN
219,pierna,NOUN
220,Nussmuss,NOUN
221,pañal,NOUN
222,atrás,ADJ/ADV
223,Gordo,PROPN
224,guckmal,ADJ/ADV
225,dankeschön,ADJ/ADV
226,Bein,NOUN
227,grün,ADJ/ADV
228,grün,ADJ/ADV
229,Pflaster,NOUN
230,palo,NOUN
231,paso,NOUN
232,grau,ADJ/ADV
233,cabeza,NOUN
234,Bagger,NOUN
235,estrella,NOUN
236,flor,NOUN
237,escucha,VERB
238,freetime,NOUN
239,freetime,NOUN
240,abrazo,ADJ/ADV
241,pinching,VERB
242,cuchillo,NOUN
243,fuchi,INTJ
244,leer,ADJ/ADV
245,leer,ADJ/ADV
246,balcón,NOUN
247,balcón,NOUN
248,abeja,NOUN
249,panda,NOUN
250,cuello,NOUN
251,cuello,NOUN
252,diente,ADJ/ADV
253,Eimer,NOUN
254,piedra,NOUN
255,llave,NOUN
256,baño,NOUN
257,baño,NOUN
258,baño,NOUN
259,Krahn,NOUN
260,hoch,VERBPART
261,aus,VERBPART
262,mit,VERBPART
263,pelota,NOUN
264,Teller,NOUN
265,oben,ADJ/ADV
266,Hocker,NOUN
267,cuarto,ADJ/ADV
268,uñas,NOUN
269,Bett,NOUN
270,Bett,NOUN
271,Gabel,NOUN
272,Mund,NOUN
273,uno,PRON
274,despierta,VERB
275,hamaca,NOUN
276,negro,ADJ/ADV
277,negro,ADJ/ADV
278,alberca,NOUN
279,alberca,NOUN
280,gato,NOUN
281,calle,NOUN
282,fang,VERB
283,nada,PRON
284,Schlafsack,NOUN
285,espalda,NOUN
286,hielo,NOUN
287,conejo,NOUN
288,Stift,NOUN
289,Finger,NOUN
290,cocina,NOUN
291,cocina,NOUN
292,moneda,NOUN
293,tortilla,NOUN
294,Rutsche,NOUN
295,plato,NOUN
296,perro,NOUN
297,caminar,VERB
298,kuscheln,VERB
299,Kinderwagen,NOUN
300,Straße,NOUN
301,schauen,VERB
302,Fuchs,NOUN
303,Fuchs,NOUN
304,Bus,NOUN
305,Müsli,NOUN
306,werfen,VERB
307,klettern,VERB
308,burbujas,NOUN
309,barco,NOUN
310,Schwein,NOUN
311,Wohnzimmer,NOUN
312,Wohnzimmer,NOUN
313,hochklettern,VERB
314,blanco,ADJ/ADV
315,blanco,ADJ/ADV
316,jirafa,NOUN
317,cocodrilo,NOUN
318,techo,NOUN
319,cargo,NOUN
320,Katze,NOUN
321,Couch,ADJ/ADV
322,beißen,VERB
323,flasche,NOUN
324,cuatro,NUM
325,espejo,NOUN
326,espejo,NOUN
327,highfive,NOUN
328,Unterhose,NOUN
329,Gartenmurmel,NOUN
330,tiburón,NOUN
331,Heidelbeeren,NOUN
332,Bäuerchen,NOUN
333,lirón,ADJ/ADV
334,de nada,INTJ
335,noche,NOUN
336,waschen,VERB
337,aspirar,VERB
338,morder,VERB
339,so,ADJ/ADV
340,durst,ADJ/ADV
341,Leiter,NOUN
342,Decke,NOUN
343,Fledermaus,NOUN
344,Frühling,NOUN
345,Herbst,NOUN
346,mucho,ADJ/ADV
347,mucho,ADJ/ADV
348,Eule,NOUN
349,weg,ADJ/ADV
350,Zwieback,NOUN
351,Zebra,PROPN
352,Pijama,PROPN
353,Frühstück,NOUN
354,hell,ADJ/ADV
355,Taschenrechner,PROPN
356,Bartolito,PROPN
357,Buch,NOUN
358,Buch,NOUN
359,streicheln,VERB
360,cabra,NOUN
361,rausschauen,VERB
362,grande,ADJ/ADV
363,grande,ADJ/ADV
364,Bahnhof,NOUN
365,Schnecke,NOUN
366,hay,AUX
367,córrele,VERB
368,Rücken,NOUN
369,está,AUX
370,schwer,ADJ/ADV
371,einer,DET
372,einer,DET
373,cayó,VERB
374,Snack,NOUN
375,Papier,NOUN
376,kitzeln,VERB
377,Glas,NOUN
378,amigo,NOUN
379,zanahoria,ADJ/ADV
380,Avocado,NOUN
381,messen,VERB
382,Pulli,NOUN
383,calzón,NOUN
384,vier,NUM
385,vier,NUM
386,sechs,NUM
387,sechs,NUM
388,neun,NUM
389,acht,NUM
390,acht,NUM
391,fantasma,NOUN
392,cereal,NOUN
393,Attacke,NOUN
394,Titus,PROPN
395,ya,ADJ/ADV
396,Kiran,NOUN
397,mitkommen,VERB
398,Schnittlauch,NOUN
399,ausziehen,VERB
400,ausziehen,VERB
401,schlucken,VERB
402,Räuber,NOUN
403,diez,NUM
404,mundo,NOUN
405,Schatten,NOUN
406,bueno,ADJ/ADV
407,schwarz,ADJ/ADV
408,Kreide,NOUN
409,hier,ADJ/ADV
410,tocar,VERB
411,tocar,VERB
412,shorts,NOUN
413,Bäcker,NOUN
414,Maske,NOUN
415,Frischkäse,NOUN
416,Heim,NOUN
417,mantequilla,NOUN
418,botas,NOUN
419,botas,NOUN
420,Wäsche,NOUN
421,Pusteblume,NOUN
422,Brille,NOUN
423,Vogel,NOUN
424,Tischtennis,NOUN
425,Bauch,NOUN
426,tigre,NOUN
427,Pferd,NOUN
428,Igel,NOUN
429,ardilla,NOUN
430,Zähne,NOUN
431,Vielleicht,ADJ/ADV
432,schiess,VERB
433,Eichhörnchen,NOUN
434,Rückwärts,ADJ/ADV
435,süß,ADJ/ADV
436,warm,ADJ/ADV
437,Nektarine,NOUN
438,fein,ADJ/ADV
439,hipopótamo,NOUN
440,oso,NOUN
441,foto,NOUN
442,maleta,NOUN
443,Ausfahrt,NOUN
444,weiter,ADJ/ADV
445,Zug,NOUN
446,jitomate,NOUN
447,Mond,NOUN
448,fuerte,ADJ/ADV
449,Búho,NOUN
450,Paula,PROPN
451,Bär,NOUN
452,Isa,PROPN
453,meiner,DET
454,salud,NOUN
455,salud,NOUN
456,heute,ADJ/ADV
457,heute,ADJ/ADV
458,Mexico,PROPN
459,Wand,NOUN
460,buscar,VERB
461,arm,ADJ/ADV
462,Memory,NOUN
463,chanclas,NOUN
464,cerrado,ADJ/ADV
465,Hausschuhe,NOUN
466,toma,VERB
467,danke,INTJ
468,bitte,INTJ
469,Wohnung,NOUN
470,ICE,NOUN
471,zehn,NUM
472,sieben,NUM
473,zwei,NUM
474,drei,NUM
475,toalla,NOUN
476,tienes,VERB
477,tienes,VERB
478,susto,NOUN
479,lejos,ADJ/ADV
