date,word,language,month,Leo_months
2020-11-05,Banane,german,2020-11,12
2020-11-18,Ball,german,2020-11,13
2020-12-04,Auge,german,2020-12,13
2020-12-15,heiß,german,2020-12,13
2020-12-22,nein,german,2020-12,14
2021-01-06,das,german,2021-01,14
2021-01-14,kaputt,german,2021-01,14
2021-01-22,tschüss,german,2021-01,15
2021-01-25,zu,german,2021-01,15
2021-01-28,Bretzel,german,2021-01,15
2021-02-14,Hüpf,german,2021-02,15
2021-02-14,Achtung,german,2021-02,15
2021-02-15,Oma,german,2021-02,15
2021-02-17,Nase,german,2021-02,16
2021-02-20,Spieli,german,2021-02,16
2021-02-21,Licht,german,2021-02,16
2021-02-23,ja,german,2021-02,16
2021-03-09,gut,german,2021-03,16
2021-03-10,Hallo,german,2021-03,16
2021-03-19,Apfel,german,2021-03,16
2021-03-26,ahjö,german,2021-03,17
2021-04-02,Blume,german,2021-04,17
2021-04-03,Pizza,german,2021-04,17
2021-04-04,Pasta,german,2021-04,17
2021-04-08,Schlüssel,german,2021-04,17
2021-04-11,Auerhahn,german,2021-04,17
2021-04-12,Popo,german,2021-04,17
2021-04-16,Schuh,german,2021-04,17
2021-04-17,Auto,german,2021-04,17
2021-04-19,Mühlabfur,german,2021-04,18
2021-04-21,essen,german,2021-04,18
2021-04-22,Wasser,german,2021-04,18
2021-04-22,runter,german,2021-04,18
2021-04-23,Cashew,german,2021-04,18
2021-04-24,Ohr,german,2021-04,18
2021-04-25,da,german,2021-04,18
2021-05-01,Fisch,german,2021-05,18
2021-05-01,nass,german,2021-05,18
2021-05-02,Baum,german,2021-05,18
2021-05-02,Kirsch,german,2021-05,18
2021-05-02,Handy,german,2021-05,18
2021-05-02,Tipi,german,2021-05,18
2021-05-06,Hand,german,2021-05,18
2021-05-06,weich,german,2021-05,18
2021-05-07,auf,german,2021-05,18
2021-05-07,lecker,german,2021-05,18
2021-05-08,an,german,2021-05,18
2021-05-08,super,german,2021-05,18
2021-05-10,Mais,german,2021-05,18
2021-05-11,Dino,german,2021-05,18
2021-05-12,Ananas,german,2021-05,18
2021-05-13,Garage,german,2021-05,18
2021-05-13,auch,german,2021-05,18
2021-05-13,Tase,german,2021-05,18
2021-05-14,malen,german,2021-05,18
2021-05-15,mehr,german,2021-05,18
2021-05-15,Uhr,german,2021-05,18
2021-05-19,Milch,german,2021-05,18
2021-05-20,Trage,german,2021-05,19
2021-05-21,Fuß,german,2021-05,19
2021-05-24,ich,german,2021-05,19
2021-05-25,Ei,german,2021-05,19
2021-05-25,Maus,german,2021-05,19
2021-05-25,Stein,german,2021-05,19
2021-05-28,Koala,german,2021-05,19
2021-05-29,Pups,german,2021-05,19
2021-05-29,Nuss,german,2021-05,19
2021-05-29,raus,german,2021-05,19
2021-05-31,Nussmuss,german,2021-05,19
2021-06-01,guckmal,german,2021-06,19
2021-06-01,dankeschön,german,2021-06,19
2021-06-01,Bein,german,2021-06,19
2021-06-02,grün,german,2021-06,19
2021-06-02,Pflaster,german,2021-06,19
2021-06-02,grau,german,2021-06,19
2021-06-03,Bagger,german,2021-06,19
2021-06-06,leer,german,2021-06,19
2021-06-07,Eimer,german,2021-06,19
2021-06-08,Krahn,german,2021-06,19
2021-06-08,blau,german,2021-06,19
2021-06-09,hoch,german,2021-06,19
2021-06-10,aus,german,2021-06,19
2021-06-10,mit,german,2021-06,19
2021-06-10,Teller,german,2021-06,19
2021-06-10,Hocker,german,2021-06,19
2021-06-10,Bett,german,2021-06,19
2021-06-11,Gabel,german,2021-06,19
2021-06-12,Mund,german,2021-06,19
2021-06-13,fang,german,2021-06,19
2021-06-14,Schlafsack,german,2021-06,19
2021-06-14,Stift,german,2021-06,19
2021-06-15,Finger,german,2021-06,19
2021-06-16,Rutsche,german,2021-06,19
2021-06-17,kuscheln,german,2021-06,19
2021-06-17,Kinderwagen,german,2021-06,19
2021-06-17,Straße,german,2021-06,19
2021-06-17,schauen,german,2021-06,19
2021-06-17,Fuchs,german,2021-06,19
2021-06-17,Bus,german,2021-06,19
2021-06-18,Müsli,german,2021-06,19
2021-06-18,werfen,german,2021-06,19
2021-06-18,klettern,german,2021-06,19
2021-06-18,Schwein,german,2021-06,19
2021-06-18,Wohnzimmer,german,2021-06,19
2021-06-19,hochklettern,german,2021-06,20
2021-06-20,Katze,german,2021-06,20
2021-06-20,Couch,german,2021-06,20
2021-06-21,beißen,german,2021-06,20
2021-06-21,flasche,german,2021-06,20
2021-06-23,Unterhose,german,2021-06,20
2021-06-23,Gartenmurmel,german,2021-06,20
2021-06-24,Bett,german,2021-06,20
2021-06-24,Heidelbeeren,german,2021-06,20
2021-06-24,Bäuerchen,german,2021-06,20
2021-06-25,kalt,german,2021-06,20
2021-06-25,waschen,german,2021-06,20
2021-06-26,so,german,2021-06,20
2021-06-26,durst,german,2021-06,20
2021-06-27,Leiter,german,2021-06,20
2021-06-27,Decke,german,2021-06,20
2021-06-27,Fuchs,german,2021-06,20
2021-06-27,Fledermaus,german,2021-06,20
2021-06-27,Frühling,german,2021-06,20
2021-06-27,Herbst,german,2021-06,20
2021-06-27,Eule,german,2021-06,20
2021-06-28,weg,german,2021-06,20
2021-06-28,Zwieback,german,2021-06,20
