date,word,language,month,Leo_months
2020-08-07,Mama,neutral,2020-08,9
2020-09-24,agua,spanish,2020-09,11
2020-10-07,Abuela,spanish,2020-10,11
2020-10-31,luna,spanish,2020-10,12
2020-11-05,Banane,german,2020-11,12
2020-11-15,Pepe,neutral,2020-11,12
2020-11-18,Ball,german,2020-11,13
2020-11-22,más,spanish,2020-11,13
2020-11-23,no,spanish,2020-11,13
2020-11-24,Mami,neutral,2020-11,13
2020-12-01,luz,spanish,2020-12,13
2020-12-04,Auge,german,2020-12,13
2020-12-10,ups,neutral,2020-12,13
2020-12-13,lechita,spanish,2020-12,13
2020-12-15,este,spanish,2020-12,13
2020-12-15,heiß,german,2020-12,13
2020-12-17,hola,spanish,2020-12,13
2020-12-22,nein,german,2020-12,14
2020-12-29,Marta,neutral,2020-12,14
2021-01-05,Juljul,neutral,2021-01,14
2021-01-06,das,german,2021-01,14
2021-01-08,árbol,spanish,2021-01,14
2021-01-13,boca,spanish,2021-01,14
2021-01-14,kaputt,german,2021-01,14
2021-01-22,tschüss,german,2021-01,15
2021-01-25,wow,neutral,2021-01,15
2021-01-25,zu,german,2021-01,15
2021-01-26,Bob,neutral,2021-01,15
2021-01-27,leche,spanish,2021-01,15
2021-01-28,Bretzel,german,2021-01,15
2021-01-31,boobie,neutral,2021-01,15
2021-02-01,sol,spanish,2021-02,15
2021-02-02,zapato,spanish,2021-02,15
2021-02-03,Rieke,neutral,2021-02,15
2021-02-04,Aqui’sta,spanish,2021-02,15
2021-02-06,uva,spanish,2021-02,15
2021-02-08,azul,spanish,2021-02,15
2021-02-09,niña,spanish,2021-02,15
2021-02-14,Hüpf,german,2021-02,15
2021-02-14,Achtung,german,2021-02,15
2021-02-15,Bravo,neutral,2021-02,15
2021-02-15,Oma,german,2021-02,15
2021-02-17,Nase,german,2021-02,16
2021-02-20,Spieli,german,2021-02,16
2021-02-21,Licht,german,2021-02,16
2021-02-22,gracias,spanish,2021-02,16
2021-02-22,corazón,spanish,2021-02,16
2021-02-23,ja,german,2021-02,16
2021-02-23,otro,spanish,2021-02,16
2021-02-26,casa,spanish,2021-02,16
2021-03-08,papa,spanish,2021-03,16
2021-03-09,Leo,neutral,2021-03,16
2021-03-09,gut,german,2021-03,16
2021-03-10,Hallo,german,2021-03,16
2021-03-10,pompa,spanish,2021-03,16
2021-03-11,Mario,neutral,2021-03,16
2021-03-13,Sushi,neutral,2021-03,16
2021-03-13,nube,spanish,2021-03,16
2021-03-14,te,spanish,2021-03,16
2021-03-14,Moni,neutral,2021-03,16
2021-03-15,bubbles,neutral,2021-03,16
2021-03-15,cielo,spanish,2021-03,16
2021-03-16,tres,spanish,2021-03,16
2021-03-17,muchacho,spanish,2021-03,16
2021-03-18,calcetín,spanish,2021-03,16
2021-03-19,Apfel,german,2021-03,16
2021-03-19,pulpo,spanish,2021-03,16
2021-03-20,Jonas,neutral,2021-03,17
2021-03-22,asi,spanish,2021-03,17
2021-03-22,ok,neutral,2021-03,17
2021-03-22,chiquito,spanish,2021-03,17
2021-03-23,Noam,neutral,2021-03,17
2021-03-24,Nicola,neutral,2021-03,17
2021-03-26,ahjö,german,2021-03,17
2021-03-27,fuego,spanish,2021-03,17
2021-03-27,Lotte,neutral,2021-03,17
2021-03-30,queso,spanish,2021-03,17
2021-03-31,bici,spanish,2021-03,17
2021-03-31,Katrin,neutral,2021-03,17
2021-04-02,si,spanish,2021-04,17
2021-04-02,Blume,german,2021-04,17
2021-04-03,Pizza,german,2021-04,17
2021-04-04,Pasta,german,2021-04,17
2021-04-06,Markus,neutral,2021-04,17
