date,word,language,month,Leo_months
2020-09-24,agua,spanish,2020-09,11
2020-10-07,Abuela,spanish,2020-10,11
2020-10-31,luna,spanish,2020-10,12
2020-11-22,más,spanish,2020-11,13
2020-11-23,no,spanish,2020-11,13
2020-12-01,luz,spanish,2020-12,13
2020-12-13,lechita,spanish,2020-12,13
2020-12-15,este,spanish,2020-12,13
2020-12-17,hola,spanish,2020-12,13
2021-01-06,más,spanish,2021-01,14
2021-01-08,árbol,spanish,2021-01,14
2021-01-13,boca,spanish,2021-01,14
2021-01-27,leche,spanish,2021-01,15
2021-02-01,sol,spanish,2021-02,15
2021-02-02,zapato,spanish,2021-02,15
2021-02-04,Aqui’sta,spanish,2021-02,15
2021-02-06,uva,spanish,2021-02,15
2021-02-08,azul,spanish,2021-02,15
2021-02-09,niña,spanish,2021-02,15
2021-02-22,gracias,spanish,2021-02,16
2021-02-22,corazón,spanish,2021-02,16
2021-02-23,otro,spanish,2021-02,16
2021-02-26,casa,spanish,2021-02,16
2021-03-08,papa,spanish,2021-03,16
2021-03-10,pompa,spanish,2021-03,16
2021-03-13,nube,spanish,2021-03,16
2021-03-14,te,spanish,2021-03,16
2021-03-15,cielo,spanish,2021-03,16
2021-03-16,tres,spanish,2021-03,16
2021-03-17,muchacho,spanish,2021-03,16
2021-03-18,calcetín,spanish,2021-03,16
2021-03-19,pulpo,spanish,2021-03,16
2021-03-22,asi,spanish,2021-03,17
2021-03-22,chiquito,spanish,2021-03,17
2021-03-27,fuego,spanish,2021-03,17
2021-03-30,queso,spanish,2021-03,17
2021-03-31,bici,spanish,2021-03,17
2021-04-02,si,spanish,2021-04,17
2021-04-17,naranja,spanish,2021-04,17
2021-04-21,rojo,spanish,2021-04,18
2021-04-22,Joghurt,spanish,2021-04,18
2021-04-23,Abuelo,spanish,2021-04,18
2021-04-24,casco,spanish,2021-04,18
2021-04-25,cariñito,spanish,2021-04,18
2021-04-26,pan,spanish,2021-04,18
2021-04-27,sopa,spanish,2021-04,18
2021-04-29,anillo,spanish,2021-04,18
2021-04-30,aguacate,spanish,2021-04,18
2021-04-30,listo,spanish,2021-04,18
2021-04-30,pie,spanish,2021-04,18
2021-04-30,lentes,spanish,2021-04,18
2021-05-01,huevo,spanish,2021-05,18
2021-05-01,sucio,spanish,2021-05,18
2021-05-01,silla,spanish,2021-05,18
2021-05-02,limón,spanish,2021-05,18
2021-05-02,adiós,spanish,2021-05,18
2021-05-03,blau,spanish,2021-05,18
2021-05-04,kalt,spanish,2021-05,18
2021-05-04,mira,spanish,2021-05,18
2021-05-04,flamingo,spanish,2021-05,18
2021-05-05,lluvia,spanish,2021-05,18
2021-05-07,mesa,spanish,2021-05,18
2021-05-09,mano,spanish,2021-05,18
2021-05-09,crema,spanish,2021-05,18
2021-05-10,ojo,spanish,2021-05,18
2021-05-10,sopa,spanish,2021-05,18
2021-05-11,verde,spanish,2021-05,18
2021-05-11,piña,spanish,2021-05,18
2021-05-11,pipí,spanish,2021-05,18
2021-05-12,ciao,spanish,2021-05,18
2021-05-12,sucio,spanish,2021-05,18
2021-05-12,AyDios,spanish,2021-05,18
2021-05-12,verde,spanish,2021-05,18
2021-05-12,planta,spanish,2021-05,18
2021-05-12,amarillo,spanish,2021-05,18
2021-05-12,ropa,spanish,2021-05,18
2021-05-12,penis,spanish,2021-05,18
2021-05-13,aceite,spanish,2021-05,18
2021-05-14,vamos,spanish,2021-05,18
2021-05-16,ven,spanish,2021-05,18
2021-05-17,tapa,spanish,2021-05,18
2021-05-17,máquina,spanish,2021-05,18
2021-05-17,fuera,spanish,2021-05,18
2021-05-18,hormiga,spanish,2021-05,18
2021-05-19,bolsa,spanish,2021-05,18
2021-05-19,rápido,spanish,2021-05,18
2021-05-19,juntos,spanish,2021-05,18
2021-05-19,fresa,spanish,2021-05,18
2021-05-20,Kaffee,spanish,2021-05,19
2021-05-20,todos,spanish,2021-05,19
2021-05-21,rico,spanish,2021-05,19
2021-05-22,pelo,spanish,2021-05,19
2021-05-22,viento,spanish,2021-05,19
2021-05-22,hambre,spanish,2021-05,19
2021-05-23,mio,spanish,2021-05,19
2021-05-23,abajo,spanish,2021-05,19
2021-05-24,piso,spanish,2021-05,19
2021-05-24,rosa,spanish,2021-05,19
2021-05-24,gis,spanish,2021-05,19
2021-05-25,Shampoo,spanish,2021-05,19
2021-05-26,pingo,spanish,2021-05,19
2021-05-27,cama,spanish,2021-05,19
2021-05-29,libro,spanish,2021-05,19
2021-05-29,yo,spanish,2021-05,19
2021-05-29,frío,spanish,2021-05,19
2021-05-30,dos,spanish,2021-05,19
2021-05-30,pato,spanish,2021-05,19
2021-05-30,pierna,spanish,2021-05,19
2021-05-31,pañal,spanish,2021-05,19
2021-05-31,atrás,spanish,2021-05,19
2021-06-02,palo,spanish,2021-06,19
2021-06-02,paso,spanish,2021-06,19
2021-06-03,cabeza,spanish,2021-06,19
2021-06-04,estrella,spanish,2021-06,19
